2155,68,47,518
2108,79,14,428
2170,68,15,680
2117,112,14,425
2099,73,38,475
2103,69,14,516
2101,78,69,509
2107,66,17,466
2099,66,28,1201
2097,66,14,685
2100,66,18,584
2097,67,16,471
2097,67,18,504
2112,64,16,444
2101,72,15,515
2163,74,14,471
2102,67,15,438
2170,67,30,1494
2101,73,13,563
2149,75,19,446
2103,65,13,542
2160,70,14,464
2103,74,15,441
2160,67,14,457
2101,99,28,464
2166,81,15,669
2111,102,16,430
2101,89,13,494
2096,66,39,464
2109,92,17,408
2100,65,15,394
2107,65,14,582
2100,66,16,585
2099,64,15,548
2101,71,14,503
2104,68,15,523
2097,64,17,420
2107,65,15,560
2099,67,15,452
2106,68,18,447
2103,68,26,441
2163,68,14,1503
2103,72,21,570
2161,68,15,471
2101,67,14,441
2111,130,38,5782
2102,69,18,420
2098,136,39,705
2101,68,15,419
2151,93,21,754
2105,101,16,419
2099,73,48,666
2101,70,14,424
2099,64,16,523
2096,67,14,1101
2105,79,17,402
2174,156,16,479
2102,64,16,566
2099,67,15,488
2106,66,17,503
2100,66,31,444
2106,66,30,623
2102,63,15,448
2105,64,74,788
2100,67,15,527
2153,79,24,605
2102,67,16,441
2158,66,15,628
2103,71,19,482
2154,71,64,622
2102,75,14,438
2159,67,17,618
2102,66,14,459
2164,68,17,730
2102,66,18,444
2171,71,13,683
2109,100,16,409
2103,74,14,625
2102,66,19,1296
2100,70,14,498
2098,66,18,395
2102,69,19,461
2101,65,15,379
2101,67,17,502
2100,64,25,390
2108,66,27,619
2099,68,16,437
2106,64,14,664
2099,68,17,472
2100,140,13,466
2101,67,15,485
2158,67,18,499
2100,71,14,445
2165,70,15,426
2102,66,22,477
2156,66,14,441
2103,67,16,459
2162,67,19,435
2103,70,16,456
2183,69,16,437
2103,70,21,443
2162,71,16,719
2108,97,14,847
2100,74,16,391
2098,66,16,425
2137,75,15,403
2100,67,14,435
2109,67,16,419
2101,65,27,640
2098,66,22,430
2101,71,14,466
2107,68,15,512
2102,65,44,469
2112,70,54,592
2153,76,14,440
2102,77,45,504
2154,66,17,470
2107,66,17,468
2158,67,17,441
2109,68,27,436
2154,69,16,601
2109,88,13,445
2159,69,16,3628
2155,67,17,664
2120,104,14,403
2101,68,20,531
2103,74,23,484
2099,68,18,585
2110,65,14,418
2102,68,28,743
2101,67,17,424
2104,74,16,2676
2099,65,23,452
2100,69,21,473
2099,65,20,481
2102,72,14,461
2154,67,16,424
2104,69,15,390
2151,70,16,514
2106,69,15,524
2156,66,71,517
2102,66,13,442
2160,66,15,435
2104,70,25,680
2151,68,17,503
2106,68,18,517
2144,81,17,736
2118,97,18,426
2102,77,23,405
2109,68,14,993
2102,70,18,416
2101,65,14,446
2100,77,17,421
2106,65,39,404
2102,64,16,435
2114,65,30,561
2101,65,21,470
2100,65,22,432
2103,64,14,1357
2101,70,18,396
2099,66,14,436
2109,66,13,522
2104,69,15,424
2166,71,15,409
2104,71,12,430
